date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Employers,"University of Washington",2.5620296048546476,1
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Jobs,"Teacher",6.567290096020373,1
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Jobs,"Postdoctoral Researcher",4.384452567543588,2
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Jobs,"Member Of The Board Of Advisors",4.306065563871227,3
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Teaching",-1,1
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Curriculum Development",-1,2
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Molecular Biology",-1,3
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Cell Culture",-1,4
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Strategy",-1,5
2020-12-01,us,"United States","Greater Seattle Area","Education",Top Trending Skills,"Strategic Partnerships",-1,6
