date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Employers,"Bristol Myers Squibb",10.267547733844568,1
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Employers,"Seattle Children's",2.0812380072748504,2
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Employers,"Seagen",4.98350777244273,3
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Employers,"Swedish",2.3246676412800213,4
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Employers,"Kaiser Permanente",2.886521174272028,5
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Jobs,"Nurse",7.567377311745218,1
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Jobs,"Software Engineer",1.9842148597737752,2
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Skills,"JavaScript",-1,1
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Skills,"Nursing",-1,2
2021-01-01,us,"United States","Greater Seattle Area","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,3
