date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Microsoft",2.502725345914153,1
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",3.6442149046765135,2
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Facebook",4.4922429849223136,3
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Expedia Group",3.650837377460297,4
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Oracle",2.4704918524576973,5
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Outreach",17.163113973275397,6
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Smartsheet",7.294561364531759,7
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Stripe",12.699023790406006,8
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Uber",10.153788705670964,9
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"DoorDash",17.012689459264536,10
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Qualtrics",7.389069793663479,11
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Highspot",10.80644839237726,12
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Twitter",18.078298711498878,13
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Avalara",5.388312559870801,14
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Employers,"Accenture",3.6065881867425826,15
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Software Engineer",23.533555474717698,1
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Program Manager",5.147819611657479,2
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Recruiter",2.9786193702670403,3
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Product Manager",2.901028625683005,4
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Account Executive",1.9027244415451516,5
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Technical Program Manager",1.6170709541206127,6
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Account Manager",1.508351034280841,7
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Recruitment Coordinator",1.445518055527669,8
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Data Scientist",1.3713905058700808,9
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Sales Development Representative",1.1654430596000547,10
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Project Manager",1.0956493179093545,11
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"User Experience Designer",1.0822149879112821,12
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Software Engineering Manager",0.8662723964410108,13
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Product Designer",0.8525109721611629,14
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Business Analyst",0.8433478196004596,15
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Customer Success Manager",0.8412981063425482,16
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Financial Analyst",0.8021688653292468,17
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Marketing Manager",0.7861724449130615,18
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Product Marketing Manager",0.6939494258115299,19
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Jobs,"Engineering Manager",0.6869599131293251,20
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Account Management",-1,2
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Recruiting",-1,3
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Construction Management",-1,4
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Program Management",-1,5
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Business Analysis",-1,6
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Financial Analysis",-1,7
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Social Media Marketing",-1,8
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Interviewing",-1,9
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Financial Reporting",-1,10
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Cross-functional Team Leadership",-1,11
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,12
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Agile Methodologies",-1,13
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Machine Learning",-1,14
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Data Science",-1,15
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"User Experience Design (UED)",-1,16
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Engineering Management",-1,17
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Wireframing",-1,18
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Salesforce.com",-1,19
2021-05-01,us,"United States","Greater Seattle Area","Software & IT Services",Top Trending Skills,"Product Design",-1,20
