date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Citi",4.822856366889859,1
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Centene Corporation",13.807007668813096,2
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"University of South Florida",2.7901770544378,3
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Amazon",17.65593044622312,4
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Raymond James",3.337364365733489,5
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"BayCare Health System",2.396582753712495,6
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Publix Super Markets",5.462864887641972,7
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"FIS",8.048967077515142,8
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Moffitt Cancer Center",2.3357022620219734,9
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"PennyMac Loan Services, LLC",37.90298634040119,10
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"KnowBe4",7.432292886896695,11
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Employers,"Hillsborough County",5.146999378543775,12
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Real Estate Agent",3.028765549775294,1
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Software Engineer",1.9356036825087786,2
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Project Manager",1.8898689785126406,3
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Nurse",1.4716770083265003,4
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Salesperson",1.3808717417564924,5
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Account Manager",1.131545992685135,6
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Customer Service Representative",1.1059016602039997,7
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Account Executive",1.0771973953119982,8
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Sales Manager",1.0178650220444951,9
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Accountant",0.7669996040473988,10
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Operations Manager",0.7258340439109733,11
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Attorney",0.7225725743093688,12
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Cashier",0.7107438915890066,13
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Business Analyst",0.7061062953639788,14
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Member Of The Board Of Advisors",0.6893531089562741,15
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Teacher",0.6835429959399306,16
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Insurance Agent",0.6370632486313667,17
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Program Manager",0.605344234455277,18
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Jobs,"Financial Advisor",0.5466906753687063,19
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Teaching",-1,1
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"JavaScript",-1,2
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Account Management",-1,4
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Sales Management",-1,5
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Investment Properties",-1,6
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Operations Management",-1,8
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Team Building",-1,9
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Legal Writing",-1,10
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Construction Management",-1,11
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Program Management",-1,12
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Civil Litigation",-1,13
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Account Reconciliation",-1,14
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Business Analysis",-1,15
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Sales Operations",-1,16
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Time Management",-1,17
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"General Ledger",-1,18
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Customer Satisfaction",-1,19
2020-06-01,us,"United States","Greater Tampa Bay Area","All",Top Trending Skills,"Cashiering",-1,20
