date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Wake Forest Baptist Health",4.282776078676289,1
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Wake Forest University",8.445309148061648,2
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"High Point University",16.06317419009216,3
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Amazon",46.29148164838282,4
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"North Carolina Agricultural and Technical State University",6.824540024288556,5
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Elon University",11.400063909532793,6
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Cone Health",2.6976871651245102,7
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Employers,"Guilford County Schools",4.299356914105727,8
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Teacher",2.410356442335526,1
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Professor",1.8841459622615644,2
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Customer Service Representative",1.802974279828333,3
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Real Estate Agent",1.7660835441247635,4
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Real Estate Broker",1.6166571648005033,5
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Nurse",1.5875540380245463,6
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Salesperson",1.537771822064835,7
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Jobs,"Project Manager",1.388392488897769,8
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Teaching",-1,1
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Curriculum Development",-1,2
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Investment Properties",-1,3
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,4
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Construction Management",-1,5
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Higher Education",-1,6
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Customer Satisfaction",-1,7
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Nursing",-1,8
2020-09-01,us,"United States","Greensboro--Winston-Salem--High Point Area","All",Top Trending Skills,"Basic Life Support (BLS)",-1,9
