date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Employers,"Keller Williams Realty, Inc.",6.4488461967338235,1
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Employers,"Compass",6.2098562811177604,2
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Employers,"CBRE",5.69528446728644,3
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Agent",38.44505921764048,1
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Jobs,"Property Manager",2.452448283971101,2
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Jobs,"Project Manager",1.7901540843792807,3
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Broker",1.7137340539489108,4
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Skills,"Investment Properties",-1,1
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,2
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Skills,"Construction Management",-1,3
2020-02-01,us,"United States","Los Angeles Metropolitan Area","Real Estate",Top Trending Skills,"Property Management",-1,4
