date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Rivian",34.032807180824236,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Netflix",5.746998182622216,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"SpaceX",6.443481266012065,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"The Walt Disney Company",3.017384928803428,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Apple",4.49397394103956,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Kaiser Permanente",1.457995701043376,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"University of Southern California",2.452044175896174,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Riot Games",7.138675431474918,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Cedars-Sinai",2.8000857906802463,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"loanDepot",7.211274721747277,10
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"NBCUniversal Media, LLC",3.4102733533322716,11
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"eXp Realty",13.168261533838892,12
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"University of California, Los Angeles",1.6636766240569663,13
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Compass",4.320060426890603,14
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"UCLA Health",1.6843657492791548,15
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Amazon Web Services (AWS)",9.089897276442466,16
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Snap Inc.",5.2208008874756695,17
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Facebook",7.188917273025572,18
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Edwards Lifesciences",3.328392618733385,19
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Employers,"Keller Williams Realty, Inc.",2.8036435381427283,20
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.449449749715556,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Jobs,"Account Executive",1.769217715689305,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.6878802759764677,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",1.5619253877930186,4
