date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Employers,"TBWA\Chiat\Day",27.06272889965598,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Employers,"RPA",10.762733362780777,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Executive",5.693728860554943,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Manager",3.3478773727826616,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Project Manager",2.6712475518109393,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Copywriter",2.3439659285852636,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Coordinator",2.335350632732385,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Editor",2.3278892724077327,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Creative Director",2.3231191980666517,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Art Director",1.9596609531176197,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Director",1.9461358540208278,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Media Planner",1.9132659276470085,10
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Writer",1.7866821885188529,11
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Jobs,"Graphic Designer",1.6445017737601657,12
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Account Management",-1,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Writing",-1,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Editing",-1,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Construction Management",-1,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Copy Editing",-1,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Copywriting",-1,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Art Direction",-1,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Event Planning",-1,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,10
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Media Planning",-1,11
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Media & Communications",Top Trending Skills,"Media Buying",-1,12
