date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Snap Inc.",5.2872676827762355,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",8.835515117698609,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Facebook",6.775883802688358,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Accenture",5.375353732354474,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"DoorDash",8.841121570603674,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Hulu",4.793315228468504,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"ServiceTitan",8.633577316052365,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Microsoft",4.827088431286302,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Employers,"Oracle",3.51741749447251,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Software Engineer",9.14497256102181,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Executive",4.609570148308259,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Recruiter",2.4193684051292963,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Manager",2.05828886140914,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.9171440236319042,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Product Manager",1.8819695067523619,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Sales Development Representative",1.5927325684698541,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Enterprise Account Executive",1.457208798536414,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Project Manager",1.419404436844325,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Sales Director",1.2366927857634797,10
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Business Development Representative",1.1774126128073614,11
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Marketing Manager",1.1387490116348091,12
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Operations Manager",0.9334624827140878,13
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Product Designer",0.9105558674541748,14
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Program Manager",0.8900430230521702,15
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.7954061128942045,16
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Account Management",-1,2
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Operations Management",-1,3
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Team Building",-1,4
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Recruiting",-1,5
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Construction Management",-1,6
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Program Management",-1,7
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Social Media Marketing",-1,8
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Interviewing",-1,9
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Sales Management",-1,10
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Cross-functional Team Leadership",-1,11
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Agile Methodologies",-1,12
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"React.js",-1,13
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Node.js",-1,14
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Salesforce.com",-1,15
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Product Design",-1,16
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Software as a Service (SaaS)",-1,17
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Wireframing",-1,18
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Cold Calling",-1,19
2021-05-01,us,"United States","Los Angeles Metropolitan Area","Software & IT Services",Top Trending Skills,"Enterprise Software",-1,20
