date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Employers,"Starbucks",2.7307189263209017,1
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Employers,"Nordstrom",4.536421099988581,2
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Employers,"Target",2.29630181315939,3
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Employers,"The Home Depot",3.7527726393723615,4
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Jobs,"Salesperson",11.801370289445847,1
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Jobs,"Barista",4.382151357368174,2
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Jobs,"Store Manager",3.743631905402639,3
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Jobs,"Buyer",2.579948714574964,4
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Skills,"Merchandising",-1,1
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Skills,"Store Management",-1,2
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Skills,"Time Management",-1,3
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Skills,"Inventory Management",-1,4
2021-06-01,us,"United States","Los Angeles Metropolitan Area","Retail",Top Trending Skills,"Barista",-1,5
