date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"Humana",2.7053399429034912,1
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"University of Louisville",3.167302934696805,2
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"Norton Healthcare",3.070257275437591,3
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"UPS",2.418132209546138,4
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"Farm Credit Mid-America",13.030677987092956,5
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"Amazon",8.35617514903626,6
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Employers,"GE Appliances, a Haier company",2.5522235690303043,7
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",1.7667507202199677,1
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.551505113287655,2
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Jobs,"Nurse",1.50634869775339,3
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.4788694827398392,4
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.329348029417836,5
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,1
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,2
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,3
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,4
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Customer Satisfaction",-1,5
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Nursing",-1,6
2020-11-01,us,"United States","Louisville Metropolitan Area","All",Top Trending Skills,"Basic Life Support (BLS)",-1,7
