date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Employers,"Mayo Clinic",3.7538433425474445,1
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Real Estate Agent",4.564769535096148,1
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Project Manager",2.0437909679102706,2
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Customer Service Representative",1.843598153400195,3
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Salesperson",1.7245206634797121,4
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Account Executive",1.63361338872131,5
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Recruiter",1.5153008101578107,6
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Nurse",1.3909660661574959,7
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Jobs,"Account Manager",1.3414875631696652,8
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Account Management",-1,1
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Investment Properties",-1,2
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,3
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Recruiting",-1,4
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Construction Management",-1,5
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Customer Satisfaction",-1,6
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Interviewing",-1,7
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Nursing",-1,8
2021-02-01,us,"United States","Metro Jacksonville","All",Top Trending Skills,"Basic Life Support (BLS)",-1,9
