date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Florida International University",5.77341913706335,1
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"University of Miami",4.614004508538067,2
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"University of Miami,  Miller School of Medicine",4.776451716769739,3
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Nova Southeastern University",5.0539710844208745,4
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Miami Dade College",3.901877682240156,5
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Broward County Public Schools",3.07443951533158,6
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Florida Atlantic University",3.999379628643302,7
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Employers,"Miami-Dade County Public Schools",2.2651281710584574,8
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Jobs,"Professor",12.297476018828236,1
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Jobs,"Teacher",10.18918709496759,2
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Skills,"Teaching",-1,1
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Skills,"Curriculum Development",-1,2
2020-01-01,us,"United States","Miami-Fort Lauderdale Area","Education",Top Trending Skills,"Higher Education",-1,3
