date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Employers,"NBCUniversal Media, LLC",5.7443837946802,1
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Employers,"Spotify",12.352252210417724,2
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Employers,"Discovery Inc",5.200287412932799,3
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Employers,"The Walt Disney Company",6.2651343061192035,4
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Jobs,"Editor",3.171401692666229,1
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Jobs,"Software Engineer",2.833021380391701,2
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Jobs,"Writer",2.609962581588001,3
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Jobs,"Media Producer",1.5508678774012328,4
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Skills,"JavaScript",-1,1
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Skills,"Writing",-1,2
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Skills,"Editing",-1,3
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Skills,"Video Production",-1,4
2020-04-01,us,"United States","New York City Metropolitan Area","Entertainment",Top Trending Skills,"Video Editing",-1,5
