date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"U.S. Census Bureau",59.00365429915115,1
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"New Jersey Courts",28.105850266453654,2
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"U.S. Department of Veterans Affairs",5.352016872672755,3
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"U.S. Small Business Administration",103.77554980994984,4
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"United Nations",1.870639514940112,5
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Employers,"United States Postal Service",3.529897254985268,6
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Jobs,"Judicial Law Clerk",13.757409503148002,1
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Jobs,"Law Clerk",5.559332807779007,2
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Skills,"Legal Research",-1,1
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Skills,"Legal Writing",-1,2
2020-08-01,us,"United States","New York City Metropolitan Area","Public Administration",Top Trending Skills,"Westlaw",-1,3
