date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Employers,"Chipotle Mexican Grill",14.195046407410675,1
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"Server",5.153879151684968,1
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"Food Server",4.002364931315052,2
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"General Manager",3.5737529700311668,3
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"Hostess",2.829196917106619,4
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"Chef",2.687522455239769,5
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Jobs,"Cashier",2.3320167482885075,6
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Team Building",-1,1
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Time Management",-1,2
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Inventory Management",-1,3
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Cashiering",-1,4
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Culinary Skills",-1,5
2020-08-01,us,"United States","New York City Metropolitan Area","Recreation & Travel",Top Trending Skills,"Menu Development",-1,6
