date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Employers,"Horizon Media",5.121777985046298,1
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Executive",6.509199479883073,1
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Manager",3.2515794285452433,2
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Editor",3.1607806486758045,3
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Writer",3.1316871485632247,4
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Project Manager",2.7391632667916466,5
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Creative Director",2.0685238402444854,6
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Copywriter",1.987819884790552,7
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Director",1.9825218092808228,8
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Coordinator",1.9538156726093412,9
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Account Supervisor",1.924075710761627,10
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Jobs,"Art Director",1.6817272958919733,11
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Account Management",-1,1
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Writing",-1,2
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Editing",-1,3
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Construction Management",-1,4
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Art Direction",-1,5
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,6
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Copywriting",-1,7
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Event Planning",-1,8
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,9
2021-01-01,us,"United States","New York City Metropolitan Area","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,10
