date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Employers,"Podium",15.329304411237437,1
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Employers,"Weave HQ",10.175945892877126,2
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Employers,"Qualtrics",4.242973222070718,3
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Employers,"Lucid",7.650425579306614,4
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Employers,"Amazon",5.315471913719997,5
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Jobs,"Software Engineer",9.159464579603279,1
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Jobs,"Sales Development Representative",5.939081480433854,2
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Executive",5.500903215716058,3
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Skills,"Account Management",-1,2
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Skills,"Salesforce.com",-1,3
2021-02-01,us,"United States","Salt Lake City Metropolitan Area","Software & IT Services",Top Trending Skills,"Cold Calling",-1,4
