date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"H-E-B",4.619859723306187,1
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"The University of Texas at San Antonio",5.9165996987666825,2
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"United States Air Force",1.8175164205993954,3
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"UT Health San Antonio",3.5775567402575503,4
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"TaskUs",10.632330361197887,5
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Employers,"Wells Fargo",4.205922439086748,6
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",3.1166915588052864,1
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.0357971034697466,2
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.9900993724944007,3
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Nurse",1.957018477031415,4
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.5600224415832191,5
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Teacher",1.3620247214019947,6
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.1188963580678657,7
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.1004279312733245,8
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.9476369773756769,9
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"General Manager",0.927497090545275,10
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Jobs,"Attorney",0.7440647107627876,11
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Account Management",-1,4
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,5
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,6
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Team Building",-1,8
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Legal Writing",-1,9
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,10
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Civil Litigation",-1,11
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Sales Operations",-1,12
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Inventory Management",-1,13
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Customer Satisfaction",-1,14
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Nursing",-1,15
2020-01-01,us,"United States","San Antonio, Texas Metropolitan Area","All",Top Trending Skills,"Basic Life Support (BLS)",-1,16
