date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"Target",7.483761013765372,1
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"Starbucks",4.549109526267378,2
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"Albertsons Companies",9.528837845978767,3
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"RH",12.166072170106656,4
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"Best Buy",11.779127319037185,5
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Employers,"SEPHORA",3.3557618952088766,6
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Jobs,"Salesperson",7.210157661625684,1
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Jobs,"Barista",5.410469230729616,2
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Jobs,"Store Manager",5.094348173754454,3
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Skills,"Merchandising",-1,1
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Skills,"Store Management",-1,2
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Skills,"Time Management",-1,3
2020-11-01,us,"United States","San Francisco Bay Area","Retail",Top Trending Skills,"Barista",-1,4
