date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"University of Maryland",6.116621733454874,1
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Georgetown University",6.112726962604939,2
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"The National Institutes of Health",6.592721610667139,3
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"The George Washington University",5.735845574867071,4
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"The Johns Hopkins University",4.225969330171404,5
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"George Mason University",6.36727796483485,6
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"American University",5.771991600561812,7
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Montgomery County Public Schools",3.664432887702217,8
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Northern Virginia Community College",8.219310920786487,9
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"University of Maryland Baltimore County",5.345590498370509,10
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Fairfax County Public Schools",2.0266835435491304,11
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"2U",7.632443540089659,12
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Towson University",3.901077023740022,13
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Prince George's County Public Schools",2.8610035989083555,14
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"District of Columbia Public Schools (DCPS)",2.1664456594371755,15
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Anne Arundel County Public Schools",4.608320292529709,16
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Howard University",3.891340860550025,17
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"Loudoun County Public Schools",3.0160357770877186,18
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"University of Maryland Global Campus",4.205899334019823,19
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Employers,"The Catholic University of America",4.930054108302912,20
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Professor",11.275238602705723,1
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Teacher",9.147154772205225,2
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Postdoctoral Researcher",2.8468924400857714,3
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Lecturer",1.8041012509485546,4
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Project Manager",1.128851624661076,5
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Jobs,"Director Of Development",0.9985160878613671,6
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Teaching",-1,1
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Curriculum Development",-1,2
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Construction Management",-1,3
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Higher Education",-1,4
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Molecular Biology",-1,5
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Cell Culture",-1,6
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Nonprofit Organizations",-1,7
2020-01-01,us,"United States","Washington DC-Baltimore Area","Education",Top Trending Skills,"Fundraising",-1,8
