date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Amazon Web Services (AWS)",14.313865602588125,1
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Amazon",18.441700101738174,2
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Booz Allen Hamilton",4.3994424539351,3
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Capital One",3.6132272097094775,4
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Deloitte",3.73675674265909,5
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Freddie Mac",5.6844209882919525,6
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"United States Department of Defense",4.224924013815614,7
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"US Army",3.3098196849904484,8
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Microsoft",9.426508689389236,9
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"The National Institutes of Health",6.565081412119067,10
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"General Dynamics Information Technology",4.481564876173729,11
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"SAIC",5.434814920535575,12
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"Fannie Mae",4.252743263184977,13
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"CACI International Inc",4.481789191661285,14
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"FDA",3.6431104711700426,15
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"U.S. Department of Veterans Affairs",4.265942632088858,16
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"U.S. Department of Homeland Security",3.7264322445307196,17
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"United States Air Force",3.870244572959067,18
2020-07-01,us,"United States","Washington DC-Baltimore Area","All",Top Trending Employers,"U.S. Department of Justice",4.085416131201932,19
