date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"FDA",5.088629658556956,1
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Veterans Affairs",4.88632693808343,2
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"USAID",7.558855952754913,3
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Homeland Security",3.9417398451313654,4
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Health and Human Services (HHS)",7.94122038379421,5
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Small Business Administration",27.378040823956297,6
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Census Bureau",9.849936553577905,7
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"USPTO",9.225545836269054,8
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"FEMA",5.229454001393966,9
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. House of Representatives",3.209968970701363,10
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"US Environmental Protection Agency (EPA)",5.471487744427307,11
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"United States Senate",4.564393703311561,12
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Housing and Urban Development",7.741541519158254,13
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"DC Department of Health",21.75858768133988,14
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"Centers for Medicare & Medicaid Services",4.517441766586824,15
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Commerce",7.702892036988884,16
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"U.S. Department of Energy (DOE)",5.129529928889798,17
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"Fairfax County Government",3.5793317357301238,18
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"Social Security Administration",3.2327643181124404,19
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Employers,"National Institute of Allergy and Infectious Diseases (NIAID)",11.49739510943754,20
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Patent Examiner",3.884460930629066,1
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Law Clerk",2.620918008783093,2
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Judicial Law Clerk",2.6030119750664245,3
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Management Program Analyst",2.2798769734128292,4
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Program Manager",2.137691977072764,5
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Attorney",2.0708067065879243,6
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Economist",1.5757670685574772,7
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Research Analyst",1.5234536681049529,8
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Office Associate",1.4396712055434195,9
2020-08-01,us,"United States","Washington DC-Baltimore Area","Public Administration",Top Trending Jobs,"Policy Analyst",1.4047200853533273,10
