date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Employers,"Deloitte",6.8324827934631145,1
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Employers,"BDO USA, LLP",25.29701502278798,2
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Employers,"PwC",3.01867453906073,3
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Employers,"ICF",3.831803800657306,4
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Employers,"RSM US LLP",7.677166370782341,5
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Project Manager",3.4865631125418766,1
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Business Analyst",2.913861598132006,2
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Accountant",2.568189564593461,3
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Audit Associate",2.1145766671755797,4
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Assurance Associate",1.8634445398045572,5
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Jobs,"Financial Analyst",1.7810434157874797,6
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Construction Management",-1,1
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Account Reconciliation",-1,2
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Business Analysis",-1,3
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Financial Analysis",-1,4
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"General Ledger",-1,5
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Financial Reporting",-1,6
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,7
2020-11-01,us,"United States","Washington DC-Baltimore Area","Corporate Services",Top Trending Skills,"Auditing",-1,8
