date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Inova Health System",2.7000175141787834,1
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Johns Hopkins Medicine",3.5690274136210203,2
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Johns Hopkins Hospital",2.0185497719332925,3
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Catalent Pharma Solutions",11.868445551313805,4
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"NOVAVAX INC",18.989427128101948,5
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Children's National Hospital",2.6175234102872946,6
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"MedStar Health",2.668571787633855,7
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"University of Maryland Medical System",4.295465826103641,8
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"Emergent BioSolutions",6.875650728922336,9
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"MedStar Washington Hospital Center",2.932188627763524,10
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Employers,"The George Washington University Hospital",5.250929266175853,11
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Jobs,"Nurse",5.832305347283139,1
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Skills,"Nursing",-1,1
2021-05-01,us,"United States","Washington DC-Baltimore Area","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,2
